CPUNames,ReleaseDates
AMD Ryzen 3 5300U with Radeon Graphics,Q1 2021
AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,Q3 2019
AMD Ryzen 5 2400G with Radeon Vega Graphics,Q1 2018
AMD Ryzen 5 2500U with Radeon Vega Mobile Gfx,Q4 2017
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,Q1 2019
AMD Ryzen 5 3550H with Radeon Vega Mobile Gfx,Q1 2019
AMD Ryzen 5 4500U with Radeon Graphics,Q1 2020
AMD Ryzen 5 4600G with Radeon Graphics,Q3 2020
AMD Ryzen 5 5500U with Radeon Graphics,Q1 2021
AMD Ryzen 5 5600G with Radeon Graphics,Q2 2021
AMD Ryzen 5 5625U with Radeon Graphics,Q1 2022
AMD Ryzen 5 Microsoft Surface (R) Edition,Q4 2022
AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,Q2 2018
AMD Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics,Q2 2018
AMD Ryzen 5 PRO 5650U with Radeon Graphics,Q1 2021
AMD Ryzen 7 3700U with Radeon Vega Mobile Gfx,Q1 2019
AMD Ryzen 7 3700X 8-Core Processor,Q3 2019
AMD Ryzen 7 3750H with Radeon Vega Mobile Gfx,Q1 2019
AMD Ryzen 7 3800X 8-Core Processor,Q3 2019
AMD Ryzen 7 4700U with Radeon Graphics,Q1 2020
AMD Ryzen 7 4800H with Radeon Graphics,Q1 2020
AMD Ryzen 7 5700G with Radeon Graphics,Q2 2021
AMD Ryzen 7 5700U with Radeon Graphics,Q1 2021
AMD Ryzen 7 5700X 8-Core Processor,Q2 2022
AMD Ryzen 7 5800H with Radeon Graphics,Q1 2021
AMD Ryzen 7 5800X 8-Core Processor,Q4 2020
AMD Ryzen 7 5825U with Radeon Graphics,Q1 2022
AMD Ryzen 7 6800HS Creator Edition,Q1 2022
AMD Ryzen 7 7840HS with Radeon 780M Graphics,Q1 2023
AMD Ryzen 7 PRO 3700U w/ Radeon Vega Mobile Gfx,Q1 2019
AMD Ryzen 7 PRO 4750U with Radeon Graphics,Q2 2020
AMD Ryzen 9 3900X 12-Core Processor,Q3 2019
AMD Ryzen 9 5900X 12-Core Processor,Q4 2020
AMD Ryzen 9 5950X 16-Core Processor,Q4 2020
AMD Ryzen 9 6900HS Creator Edition,Q1 2022
AMD Ryzen Threadripper PRO 3995WX 64-Cores,Q3 2020
Apple M1 Pro,Q4 2021
Intel(R) Atom(TM) CPU D2560   @ 2.00GHz,Q4 2012
Intel(R) Atom(TM) x5-Z8350  CPU @ 1.44GHz,Q1 2016
Intel(R) Atom(TM) x7-Z8700  CPU @ 1.60GHz,Q1 2015
Intel(R) Celeron(R) CPU          550  @ 2.00GHz,Q3 2006
Intel(R) Celeron(R) CPU  J1900  @ 1.99GHz,Q4 2013
Intel(R) Celeron(R) CPU  N2830  @ 2.16GHz,Q1 2014
Intel(R) Celeron(R) CPU  N2840  @ 2.16GHz,Q3 2014
Intel(R) Celeron(R) CPU  N2920  @ 1.86GHz,Q4 2013
Intel(R) Celeron(R) CPU  N3060  @ 1.60GHz,Q1 2016
Intel(R) Celeron(R) CPU  N3160  @ 1.60GHz,Q1 2016
Intel(R) Celeron(R) CPU G3900TE @ 2.30GHz,Q4 2015
Intel(R) Celeron(R) CPU J3455 @ 1.50GHz,Q3 2016
Intel(R) Celeron(R) CPU N3350 @ 1.10GHz,Q3 2016
Intel(R) Celeron(R) G4900T CPU @ 2.90GHz,Q2 2018
Intel(R) Celeron(R) J4025 CPU @ 2.00GHz,Q4 2019
Intel(R) Celeron(R) J4125 CPU @ 2.00GHz,Q4 2019
Intel(R) Celeron(R) J6412 @ 2.00GHz,Q1 2021
Intel(R) Celeron(R) N4000 CPU @ 1.10GHz,Q4 2017
Intel(R) Celeron(R) N4120 CPU @ 1.10GHz,Q4 2019
Intel(R) Core(TM) i3 CPU       M 350  @ 2.27GHz,Q1 2010
Intel(R) Core(TM) i3-1005G1 CPU @ 1.20GHz,Q3 2019
Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,Q2 2020
Intel(R) Core(TM) i3-10100T CPU @ 3.00GHz,Q2 2020
Intel(R) Core(TM) i3-10105 CPU @ 3.70GHz,Q1 2021
Intel(R) Core(TM) i3-10110U CPU @ 2.10GHz,Q3 2019
Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz,Q1 2011
Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz,Q1 2011
Intel(R) Core(TM) i3-2310M CPU @ 2.10GHz,Q1 2011
Intel(R) Core(TM) i3-2350M CPU @ 2.30GHz,Q4 2011
Intel(R) Core(TM) i3-3110M CPU @ 2.40GHz,Q2 2012
Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz,Q2 2012
Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz,Q3 2012
Intel(R) Core(TM) i3-3240 CPU @ 3.40GHz,Q3 2012
Intel(R) Core(TM) i3-3250 CPU @ 3.50GHz,Q2 2013
Intel(R) Core(TM) i3-4000M CPU @ 2.40GHz,Q4 2013
Intel(R) Core(TM) i3-4010U CPU @ 1.70GHz,Q3 2013
Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,Q3 2013
Intel(R) Core(TM) i3-4130T CPU @ 2.90GHz,Q3 2013
Intel(R) Core(TM) i3-4150 CPU @ 3.50GHz,Q2 2014
Intel(R) Core(TM) i3-4160 CPU @ 3.60GHz,Q3 2014
Intel(R) Core(TM) i3-4160T CPU @ 3.10GHz,Q3 2014
Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz,Q1 2015
Intel(R) Core(TM) i3-5005U CPU @ 2.00GHz,Q1 2015
Intel(R) Core(TM) i3-5010U CPU @ 2.10GHz,Q1 2015
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,Q3 2015
Intel(R) Core(TM) i3-6100T CPU @ 3.20GHz,Q3 2015
Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz,Q3 2015
Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,Q1 2017
Intel(R) Core(TM) i3-7100T CPU @ 3.40GHz,Q1 2017
Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,Q3 2016
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,Q4 2017
Intel(R) Core(TM) i3-8130U CPU @ 2.20GHz,Q1 2018
Intel(R) Core(TM) i3-8145U CPU @ 2.10GHz,Q3 2018
Intel(R) Core(TM) i3-9100 CPU @ 3.60GHz,Q2 2019
Intel(R) Core(TM) i3-9100T CPU @ 3.10GHz,Q2 2019
Intel(R) Core(TM) i5 CPU         650  @ 3.20GHz,Q1 2010
Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,Q3 2019
Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Q2 2020
Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,Q2 2020
Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz,Q3 2019
Intel(R) Core(TM) i5-1035G4 CPU @ 1.10GHz,Q3 2019
Intel(R) Core(TM) i5-1035G7 CPU @ 1.20GHz,Q3 2019
Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,Q2 2020
Intel(R) Core(TM) i5-10400H CPU @ 2.60GHz,Q2 2020
Intel(R) Core(TM) i5-10400T CPU @ 2.00GHz,Q2 2020
Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,Q2 2020
Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Q2 2020
Intel(R) Core(TM) i5-10500TE CPU @ 2.30GHz,Q2 2020
Intel(R) Core(TM) i5-10505 CPU @ 3.20GHz,Q1 2021
Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz,Q2 2020
Intel(R) Core(TM) i5-10600K CPU @ 4.10GHz,Q2 2020
Intel(R) Core(TM) i5-2310 CPU @ 2.90GHz,Q2 2011
Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz,Q1 2011
Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz,Q1 2011
Intel(R) Core(TM) i5-2410M CPU @ 2.30GHz,Q1 2011
Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz,Q2 2012
Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,Q3 2012
Intel(R) Core(TM) i5-3330S CPU @ 2.70GHz,Q3 2012
Intel(R) Core(TM) i5-3340S CPU @ 2.80GHz,Q3 2013
Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,Q2 2012
Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz,Q2 2012
Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,Q3 2013
Intel(R) Core(TM) i5-4210M CPU @ 2.60GHz,Q2 2014
Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,Q2 2014
Intel(R) Core(TM) i5-4300M CPU @ 2.60GHz,Q4 2013
Intel(R) Core(TM) i5-4300U CPU @ 1.90GHz,Q3 2013
Intel(R) Core(TM) i5-4310U CPU @ 2.00GHz,Q1 2014
Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz,Q3 2013
Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,Q2 2014
Intel(R) Core(TM) i5-4460S CPU @ 2.90GHz,Q2 2014
Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,Q2 2013
Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,Q2 2013
Intel(R) Core(TM) i5-4570T CPU @ 2.90GHz,Q2 2013
Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,Q2 2014
Intel(R) Core(TM) i5-4590S CPU @ 3.00GHz,Q2 2014
Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz,Q2 2014
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz,Q2 2014
Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,Q1 2015
Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz,Q1 2015
Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,Q3 2015
Intel(R) Core(TM) i5-6260U CPU @ 1.80GHz,Q3 2015
Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,Q3 2015
Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,Q3 2015
Intel(R) Core(TM) i5-6400T CPU @ 2.20GHz,Q3 2015
Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,Q3 2015
Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz,Q3 2015
Intel(R) Core(TM) i5-6500TE CPU @ 2.30GHz,Q4 2015
Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz,Q3 2015
Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,Q3 2016
Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz,Q1 2017
Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,Q1 2017
Intel(R) Core(TM) i5-7400T CPU @ 2.40GHz,Q1 2017
Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,Q1 2017
Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz,Q1 2017
Intel(R) Core(TM) i5-7600K CPU @ 3.80GHz,Q1 2017
Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,Q3 2017
Intel(R) Core(TM) i5-8259U CPU @ 2.30GHz,Q2 2018
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,Q3 2018
Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,Q2 2019
Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,Q3 2017
