CPUNames,ReleaseDates
Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,Q1 2016
Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,Q3 2014
Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,Q1 2016
Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,Q3 2014
Intel(R) Xeon(R) CPU E5-2643 0 @ 3.30GHz,Q1 2012
Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,Q3 2014
Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz,Q3 2014
Intel(R) Xeon(R) CPU E5-2687W v3 @ 3.10GHz,Q3 2014
Intel(R) Xeon(R) CPU E5-2690 v4 @ 2.60GHz,Q1 2016
Intel(R) Xeon(R) E-2136 CPU @ 3.30GHz,Q3 2018
Intel(R) Xeon(R) E-2146G CPU @ 3.50GHz,Q3 2018
Intel(R) Xeon(R) E-2176M  CPU @ 2.70GHz,Q2 2018
Intel(R) Xeon(R) E-2186M  CPU @ 2.90GHz,Q2 2018
Intel(R) Xeon(R) E-2224 CPU @ 3.40GHz,Q2 2019
Intel(R) Xeon(R) E-2224G CPU @ 3.50GHz,Q2 2019
Intel(R) Xeon(R) E-2234 CPU @ 3.60GHz,Q2 2019
Intel(R) Xeon(R) E-2276G CPU @ 3.80GHz,Q2 2019
Intel(R) Xeon(R) E-2278GE CPU @ 3.30GHz,Q2 2019
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,Q2 2019
Intel(R) Xeon(R) Platinum 8358P CPU @ 2.60GHz,Q2 2021
Intel(R) Xeon(R) Silver 4108 CPU @ 1.80GHz,Q3 2017
Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,Q3 2017
Intel(R) Xeon(R) Silver 4112 CPU @ 2.60GHz,Q3 2017
Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,Q2 2019
Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz,Q2 2019
Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,Q2 2019
Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,Q2 2019
Intel(R) Xeon(R) Silver 4310 CPU @ 2.10GHz,Q2 2021
Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz,Q2 2021
Intel(R) Xeon(R) Silver 4316 CPU @ 2.30GHz,Q2 2021
Intel(R) Xeon(R) W-10855M CPU @ 2.80GHz,Q2 2020
Intel(R) Xeon(R) W-11855M CPU @ 3.20GHz,Q2 2021
Intel(R) Xeon(R) W-1290 CPU @ 3.20GHz,Q2 2020
Intel(R) Xeon(R) W-2102 CPU @ 2.90GHz,Q3 2017
Intel(R) Xeon(R) W-2104 CPU @ 3.20GHz,Q3 2017
Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz,Q3 2017
Intel(R) Xeon(R) W-2223 CPU @ 3.60GHz,Q4 2019
Pentium(R) Dual-Core  CPU      E5800  @ 3.20GHz,Q4 2010
13th Gen Intel(R) Core(TM) i5-13500,Q1 2023
13th Gen Intel(R) Core(TM) i5-13500,Q1 2023
